circuit,map,type,direction,location,country,last_length_used,turns,grands_prix,seasons,grands_prix_held
"{'text': 'Indianapolis Motor Speedway', 'url': 'https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Indianapolis_Motor_Speedway_-_road_course.svg'}",Race circuit,Clockwise,"{'text': 'Speedway', 'url': 'https://en.wikipedia.org/wiki/Speedway,_Indiana'}",United States,4.192 km (2.605 mi),13,"Indianapolis 500 [ d ] , United States Grand Prix","1950 – 1960 , 2000 – 2007",19
"{'text': 'Intercity Istanbul Park', 'url': 'https://en.wikipedia.org/wiki/Istanbul_Park'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Istanbul_park.svg'}",Race circuit,Anti-clockwise,"{'text': 'Istanbul', 'url': 'https://en.wikipedia.org/wiki/Istanbul'}",Turkey,5.338 km (3.317 mi),14,"{'text': 'Turkish Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Turkish_Grand_Prix'}","2005 – 2011 , 2020 – 2021",9
"{'text': 'Jeddah Corniche Circuit *', 'url': 'https://en.wikipedia.org/wiki/Jeddah_Corniche_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Jeddah_Street_Circuit_2021.svg'}",Street circuit,Anti-clockwise,"{'text': 'Jeddah', 'url': 'https://en.wikipedia.org/wiki/Jeddah'}",Saudi Arabia,6.174 km (3.836 mi),27,"{'text': 'Saudi Arabian Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Saudi_Arabian_Grand_Prix'}",2021 – 2025,5
"{'text': 'Korea International Circuit', 'url': 'https://en.wikipedia.org/wiki/Korea_International_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Korea_international_circuit_v3.svg'}",Race circuit,Anti-clockwise,"{'text': 'Yeongam', 'url': 'https://en.wikipedia.org/wiki/Yeongam'}",South Korea,5.615 km (3.489 mi),18,"{'text': 'Korean Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Korean_Grand_Prix'}",2010 – 2013,4
"{'text': 'Kyalami Grand Prix Circuit', 'url': 'https://en.wikipedia.org/wiki/Kyalami_Racing_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Kyalami_1992_Layout.png'}",Race circuit,Anti-clockwise,"{'text': 'Midrand', 'url': 'https://en.wikipedia.org/wiki/Midrand'}",South Africa,4.261 km (2.648 mi),13,"{'text': 'South African Grand Prix', 'url': 'https://en.wikipedia.org/wiki/South_African_Grand_Prix'}","1967 – 1980 , 1982 – 1985 , 1992 – 1993",20
"{'text': 'Las Vegas Strip Circuit *', 'url': 'https://en.wikipedia.org/wiki/Las_Vegas_Strip_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Las_Vegas_Strip_Circuit_2023.png'}",Street circuit,Anti-clockwise,"{'text': 'Paradise', 'url': 'https://en.wikipedia.org/wiki/Paradise,_Nevada'}",United States,6.201 km (3.853 mi),17,"{'text': 'Las Vegas Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix'}",2023 – 2025,3
"{'text': 'Long Beach Street Circuit', 'url': 'https://en.wikipedia.org/wiki/Long_Beach_Street_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Long_Beach_1983.jpg'}",Street circuit,Clockwise,"{'text': 'Long Beach', 'url': 'https://en.wikipedia.org/wiki/Long_Beach,_California'}",United States,3.275 km (2.035 mi),18,"{'text': 'United States Grand Prix West', 'url': 'https://en.wikipedia.org/wiki/United_States_Grand_Prix_West'}",1976 – 1983,8
"{'text': 'Lusail International Circuit *', 'url': 'https://en.wikipedia.org/wiki/Lusail_International_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Lusail_International_Circuit_2023.svg'}",Race circuit,Clockwise,"{'text': 'Lusail', 'url': 'https://en.wikipedia.org/wiki/Lusail'}",Qatar,5.419 km (3.367 mi),16,"{'text': 'Qatar Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Qatar_Grand_Prix'}","2021 , 2023 – 2024",3
"{'text': 'Madring †', 'url': 'https://en.wikipedia.org/wiki/Madring'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Madring_(2026).svg'}",Street circuit,Clockwise,"{'text': 'Barajas', 'url': 'https://en.wikipedia.org/wiki/Barajas_(Madrid)'}",Spain,5.474 km (3.401 mi),22,"{'text': 'Spanish Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Spanish_Grand_Prix'}",,0
"{'text': 'Marina Bay Street Circuit *', 'url': 'https://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit'}","{'text': '', 'url': 'https://en.wikipedia.org/wiki/File:Marina_Bay_circuit_2023.svg'}",Street circuit,Anti-clockwise,"{'text': 'Marina Bay', 'url': 'https://en.wikipedia.org/wiki/Marina_Bay,_Singapore'}",Singapore,4.940 km (3.070 mi),19,"{'text': 'Singapore Grand Prix', 'url': 'https://en.wikipedia.org/wiki/Singapore_Grand_Prix'}","2008 – 2019 , 2022 – 2025",16
