#,driver,seasons,teams,entries,starts,points
1,"{'text': 'Maria Teresa de Filippis', 'url': 'https://en.wikipedia.org/wiki/Maria_Teresa_de_Filippis'}","[{'year': 1958, 'url': 'https://en.wikipedia.org/wiki/1958_Formula_One_World_Championship'}, {'year': 1959, 'url': 'https://en.wikipedia.org/wiki/1959_Formula_One_World_Championship'}]","[{'text': 'Maserati', 'url': 'https://en.wikipedia.org/wiki/Maserati_in_motorsport'}, {'text': 'Behra-Porsche', 'url': 'https://en.wikipedia.org/wiki/Behra-Porsche'}]",0,5,4
2,"{'text': 'Lella Lombardi', 'url': 'https://en.wikipedia.org/wiki/Lella_Lombardi'}","[{'year': 1974, 'url': 'https://en.wikipedia.org/wiki/1974_Formula_One_World_Championship'}, {'year': 1975, 'url': 'https://en.wikipedia.org/wiki/1975_Formula_One_World_Championship'}, {'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}]","[{'text': 'March', 'url': 'https://en.wikipedia.org/wiki/March_Engineering'}, {'text': 'RAM', 'url': 'https://en.wikipedia.org/wiki/RAM_Racing'}, {'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars'}]",17,12,5
3,"{'text': 'Divina Galica', 'url': 'https://en.wikipedia.org/wiki/Divina_Galica'}","[{'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}, {'year': 1978, 'url': 'https://en.wikipedia.org/wiki/1978_Formula_One_World_Championship'}]","[{'text': 'Surtees', 'url': 'https://en.wikipedia.org/wiki/Surtees_Racing_Organisation'}, {'text': 'Hesketh', 'url': 'https://en.wikipedia.org/wiki/Hesketh_Racing'}]",0,3,2
4,"{'text': 'Desiré Wilson', 'url': 'https://en.wikipedia.org/wiki/Desir%C3%A9_Wilson'}","[{'year': 1980, 'url': 'https://en.wikipedia.org/wiki/1980_Formula_One_World_Championship'}]","[{'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}]",0,1,3
5,"{'text': 'Giovanna Amati', 'url': 'https://en.wikipedia.org/wiki/Giovanna_Amati'}","[{'year': 1992, 'url': 'https://en.wikipedia.org/wiki/1992_Formula_One_World_Championship'}]","[{'text': 'Brabham', 'url': 'https://en.wikipedia.org/wiki/Brabham'}]",0,3,1
