manufacturer,manufacturer_status,engines_built_in,seasons,races_entered,races_started,wins,points,poles,fastest_laps,podiums,wcc,wdc
"{'text': 'Bristol', 'url': 'https://en.wikipedia.org/wiki/Bristol_Cars'}",former,"{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}","[{'year': 1952, 'url': 'https://en.wikipedia.org/wiki/1952_Formula_One_World_Championship'}, {'year': 1953, 'url': 'https://en.wikipedia.org/wiki/1953_Formula_One_World_Championship'}, {'year': 1954, 'url': 'https://en.wikipedia.org/wiki/1954_Formula_One_World_Championship'}, {'year': 1955, 'url': 'https://en.wikipedia.org/wiki/1955_Formula_One_World_Championship'}, {'year': 1956, 'url': 'https://en.wikipedia.org/wiki/1956_Formula_One_World_Championship'}, {'year': 1957, 'url': 'https://en.wikipedia.org/wiki/1957_Formula_One_World_Championship'}]",17,17,0,,0,0,1,,0
"{'text': 'BRM', 'url': 'https://en.wikipedia.org/wiki/British_Racing_Motors'}",former,"{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}","[{'year': 1951, 'url': 'https://en.wikipedia.org/wiki/1951_Formula_One_World_Championship'}, {'year': 1956, 'url': 'https://en.wikipedia.org/wiki/1956_Formula_One_World_Championship'}, {'year': 1957, 'url': 'https://en.wikipedia.org/wiki/1957_Formula_One_World_Championship'}, {'year': 1958, 'url': 'https://en.wikipedia.org/wiki/1958_Formula_One_World_Championship'}, {'year': 1959, 'url': 'https://en.wikipedia.org/wiki/1959_Formula_One_World_Championship'}, {'year': 1960, 'url': 'https://en.wikipedia.org/wiki/1960_Formula_One_World_Championship'}, {'year': 1962, 'url': 'https://en.wikipedia.org/wiki/1962_Formula_One_World_Championship'}, {'year': 1963, 'url': 'https://en.wikipedia.org/wiki/1963_Formula_One_World_Championship'}, {'year': 1964, 'url': 'https://en.wikipedia.org/wiki/1964_Formula_One_World_Championship'}, {'year': 1965, 'url': 'https://en.wikipedia.org/wiki/1965_Formula_One_World_Championship'}, {'year': 1966, 'url': 'https://en.wikipedia.org/wiki/1966_Formula_One_World_Championship'}, {'year': 1967, 'url': 'https://en.wikipedia.org/wiki/1967_Formula_One_World_Championship'}, {'year': 1968, 'url': 'https://en.wikipedia.org/wiki/1968_Formula_One_World_Championship'}, {'year': 1969, 'url': 'https://en.wikipedia.org/wiki/1969_Formula_One_World_Championship'}, {'year': 1970, 'url': 'https://en.wikipedia.org/wiki/1970_Formula_One_World_Championship'}, {'year': 1971, 'url': 'https://en.wikipedia.org/wiki/1971_Formula_One_World_Championship'}, {'year': 1972, 'url': 'https://en.wikipedia.org/wiki/1972_Formula_One_World_Championship'}, {'year': 1973, 'url': 'https://en.wikipedia.org/wiki/1973_Formula_One_World_Championship'}, {'year': 1974, 'url': 'https://en.wikipedia.org/wiki/1974_Formula_One_World_Championship'}, {'year': 1975, 'url': 'https://en.wikipedia.org/wiki/1975_Formula_One_World_Championship'}, {'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}, {'year': 1977, 'url': 'https://en.wikipedia.org/wiki/1977_Formula_One_World_Championship'}]",200,189,18,499.0,11,14,65,1,1
"{'text': 'Bugatti', 'url': 'https://en.wikipedia.org/wiki/Bugatti'}",former,"{'text': 'France', 'url': 'https://en.wikipedia.org/wiki/France'}","[{'year': 1956, 'url': 'https://en.wikipedia.org/wiki/1956_Formula_One_World_Championship'}]",1,1,0,,0,0,0,,0
"{'text': 'Butterworth', 'url': 'https://en.wikipedia.org/wiki/Aston_Butterworth'}",former,"{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}","[{'year': 1952, 'url': 'https://en.wikipedia.org/wiki/1952_Formula_One_World_Championship'}]",4,2,0,,0,0,0,,0
"{'text': 'BWT Mercedes', 'url': 'https://en.wikipedia.org/wiki/Mercedes_AMG_High_Performance_Powertrains'}",former,"{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}","[{'year': 2019, 'url': 'https://en.wikipedia.org/wiki/2019_Formula_One_World_Championship'}, {'year': 2020, 'url': 'https://en.wikipedia.org/wiki/2020_Formula_One_World_Championship'}]",38,38,1,268.0,1,0,4,0,0
"{'text': 'Castellotti', 'url': 'https://en.wikipedia.org/wiki/Castellotti'}",former,"{'text': 'Italy', 'url': 'https://en.wikipedia.org/wiki/Italy'}","[{'year': 1960, 'url': 'https://en.wikipedia.org/wiki/1960_Formula_One_World_Championship'}]",4,3,0,3.0,0,0,0,0,0
"{'text': 'Climax', 'url': 'https://en.wikipedia.org/wiki/Coventry_Climax'}",former,"{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}","[{'year': 1957, 'url': 'https://en.wikipedia.org/wiki/1957_Formula_One_World_Championship'}, {'year': 1958, 'url': 'https://en.wikipedia.org/wiki/1958_Formula_One_World_Championship'}, {'year': 1959, 'url': 'https://en.wikipedia.org/wiki/1959_Formula_One_World_Championship'}, {'year': 1960, 'url': 'https://en.wikipedia.org/wiki/1960_Formula_One_World_Championship'}, {'year': 1961, 'url': 'https://en.wikipedia.org/wiki/1961_Formula_One_World_Championship'}, {'year': 1962, 'url': 'https://en.wikipedia.org/wiki/1962_Formula_One_World_Championship'}, {'year': 1963, 'url': 'https://en.wikipedia.org/wiki/1963_Formula_One_World_Championship'}, {'year': 1964, 'url': 'https://en.wikipedia.org/wiki/1964_Formula_One_World_Championship'}, {'year': 1965, 'url': 'https://en.wikipedia.org/wiki/1965_Formula_One_World_Championship'}, {'year': 1966, 'url': 'https://en.wikipedia.org/wiki/1966_Formula_One_World_Championship'}, {'year': 1967, 'url': 'https://en.wikipedia.org/wiki/1967_Formula_One_World_Championship'}, {'year': 1968, 'url': 'https://en.wikipedia.org/wiki/1968_Formula_One_World_Championship'}, {'year': 1969, 'url': 'https://en.wikipedia.org/wiki/1969_Formula_One_World_Championship'}]",97,96,40,684.0,44,44,104,4,4
"{'text': 'Conrero', 'url': 'https://en.wikipedia.org/wiki/Virgilio_Conrero'}",former,"{'text': 'Italy', 'url': 'https://en.wikipedia.org/wiki/Italy'}","[{'year': 1961, 'url': 'https://en.wikipedia.org/wiki/1961_Formula_One_World_Championship'}]",1,1,0,0.0,0,0,0,0,0
"{'text': 'Cosworth', 'url': 'https://en.wikipedia.org/wiki/Cosworth'}",former,"{'text': 'United Kingdom', 'url': 'https://en.wikipedia.org/wiki/United_Kingdom'}","[{'year': 2000, 'url': 'https://en.wikipedia.org/wiki/2000_Formula_One_World_Championship'}, {'year': 2001, 'url': 'https://en.wikipedia.org/wiki/2001_Formula_One_World_Championship'}, {'year': 2002, 'url': 'https://en.wikipedia.org/wiki/2002_Formula_One_World_Championship'}, {'year': 2003, 'url': 'https://en.wikipedia.org/wiki/2003_Formula_One_World_Championship'}, {'year': 2004, 'url': 'https://en.wikipedia.org/wiki/2004_Formula_One_World_Championship'}, {'year': 2005, 'url': 'https://en.wikipedia.org/wiki/2005_Formula_One_World_Championship'}, {'year': 2006, 'url': 'https://en.wikipedia.org/wiki/2006_Formula_One_World_Championship'}, {'year': 2010, 'url': 'https://en.wikipedia.org/wiki/2010_Formula_One_World_Championship'}, {'year': 2011, 'url': 'https://en.wikipedia.org/wiki/2011_Formula_One_World_Championship'}, {'year': 2012, 'url': 'https://en.wikipedia.org/wiki/2012_Formula_One_World_Championship'}, {'year': 2013, 'url': 'https://en.wikipedia.org/wiki/2013_Formula_One_World_Championship'}]",199,199,0,179.0,1,1,2,0,0
"{'text': 'De Tomaso', 'url': 'https://en.wikipedia.org/wiki/De_Tomaso'}",former,"{'text': 'Italy', 'url': 'https://en.wikipedia.org/wiki/Italy'}","[{'year': 1962, 'url': 'https://en.wikipedia.org/wiki/1962_Formula_One_World_Championship'}]",1,0,0,0.0,0,0,0,0,0
