Race title,Race title URL,Country,Country URL,Years held,Circuits,Total
Pacific Grand Prix,https://en.wikipedia.org/wiki/Pacific_Grand_Prix,Japan,https://en.wikipedia.org/wiki/Japan,1994 – 1995,1,2
Pescara Grand Prix,https://en.wikipedia.org/wiki/Coppa_Acerbo,Italy,https://en.wikipedia.org/wiki/Italy,1957,1,1
Portuguese Grand Prix,https://en.wikipedia.org/wiki/Portuguese_Grand_Prix,Portugal,https://en.wikipedia.org/wiki/Portugal,"1958 – 1960 , 1984 – 1996 , 2020 – 2021",4,18
Qatar Grand Prix *,https://en.wikipedia.org/wiki/Qatar_Grand_Prix,Qatar,https://en.wikipedia.org/wiki/Qatar,"2021 , 2023 – 2024",1,3
Russian Grand Prix,https://en.wikipedia.org/wiki/Russian_Grand_Prix,Russia,https://en.wikipedia.org/wiki/Russia,2014 – 2021,1,8
Sakhir Grand Prix,https://en.wikipedia.org/wiki/Sakhir_Grand_Prix,Bahrain,https://en.wikipedia.org/wiki/Bahrain,2020,1,1
San Marino Grand Prix,https://en.wikipedia.org/wiki/San_Marino_Grand_Prix,Italy,https://en.wikipedia.org/wiki/Italy,1981 – 2006,1,26
São Paulo Grand Prix *,https://en.wikipedia.org/wiki/S%C3%A3o_Paulo_Grand_Prix,Brazil,https://en.wikipedia.org/wiki/Brazil,2021 – 2025,1,5
Saudi Arabian Grand Prix *,https://en.wikipedia.org/wiki/Saudi_Arabian_Grand_Prix,Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia,2021 – 2025,1,5
Singapore Grand Prix *,https://en.wikipedia.org/wiki/Singapore_Grand_Prix,Singapore,https://en.wikipedia.org/wiki/Singapore,"2008 – 2019 , 2022 – 2025",1,16
South African Grand Prix,https://en.wikipedia.org/wiki/South_African_Grand_Prix,South Africa,https://en.wikipedia.org/wiki/South_Africa,"1962 – 1963 , 1965 , 1967 – 1980 , 1982 – 1985 , 1992 – 1993",2,23
Spanish Grand Prix *,https://en.wikipedia.org/wiki/Spanish_Grand_Prix,Spain,https://en.wikipedia.org/wiki/Spain,"1951 , 1954 , 1968 – 1979 , 1981 , 1986 – 2025",5,55
Styrian Grand Prix,https://en.wikipedia.org/wiki/Styrian_Grand_Prix,Austria,https://en.wikipedia.org/wiki/Austria,2020 – 2021,1,2
Swedish Grand Prix,https://en.wikipedia.org/wiki/Swedish_Grand_Prix,Sweden,https://en.wikipedia.org/wiki/Sweden,1973 – 1978,1,6
Swiss Grand Prix,https://en.wikipedia.org/wiki/Swiss_Grand_Prix,Switzerland France,https://en.wikipedia.org/wiki/Switzerland,"1950 – 1954 , 1982",2,6
Turkish Grand Prix,https://en.wikipedia.org/wiki/Turkish_Grand_Prix,Turkey,https://en.wikipedia.org/wiki/Turkey,"2005 – 2011 , 2020 – 2021",1,9
Tuscan Grand Prix,https://en.wikipedia.org/wiki/Tuscan_Grand_Prix,Italy,https://en.wikipedia.org/wiki/Italy,2020,1,1
United States Grand Prix *,https://en.wikipedia.org/wiki/United_States_Grand_Prix,United States,https://en.wikipedia.org/wiki/United_States,"1959 – 1980 , 1989 – 1991 , 2000 – 2007 , 2012 – 2019 , 2021 – 2025",6,46
United States Grand Prix West,https://en.wikipedia.org/wiki/United_States_Grand_Prix_West,United States,https://en.wikipedia.org/wiki/United_States,1976 – 1983,1,8
