season,main_colours,additional_colours,main_sponsors,additional_major_sponsors,notes,team,non-tobacco_liveries,special_liveries,livery_sponsors,non-tobacco_alcohol_livery_changes,drivers,other_informations_including_non-tobacco_alcohol_race_changes,other_information,non_tobacco_alcohol_changess,additional_major_sponsors___notes,livery_principal_sponsors,non-tobacco_alcohol_livery_changes_location-specific_livery_changes_2011-present,non-tobacco_alcohol_livery_changess,non-tobacco_alcohol_and_other_livery_changes,other_changes
"[{'year': 1977, 'url': 'https://en.wikipedia.org/wiki/1977_Formula_One_World_Championship'}]",['Black'],,"['Tissot', 'Castrol']",['Clay Regazzoni Jeans Cynar ( Argentine Grand Prix and Brazilian Grand Prix only) Theodore Racing Hong Kong ( Long Beach Grand Prix only)'],,Ensign,,,,,"[{'text': 'Clay Regazzoni', 'url': 'https://en.wikipedia.org/wiki/Clay_Regazzoni'}, {'text': 'Jacky Ickx', 'url': 'https://en.wikipedia.org/wiki/Jacky_Ickx'}]",,,,,,,,,
"[{'year': 1977, 'url': 'https://en.wikipedia.org/wiki/1977_Formula_One_World_Championship'}]",['White'],,['Theodore Racing Hong Kong'],['Elf'],,Ensign,,,,,"[{'text': 'Patrick Tambay', 'url': 'https://en.wikipedia.org/wiki/Patrick_Tambay'}]",,,,,,,,,
"[{'year': 1978, 'url': 'https://en.wikipedia.org/wiki/1978_Formula_One_World_Championship'}]",['Black'],,['Tissot'],['Interscope Racing'],,Ensign,,,,,"[{'text': 'Danny Ongais', 'url': 'https://en.wikipedia.org/wiki/Danny_Ongais'}]",,,,,,,,,
"[{'year': 1978, 'url': 'https://en.wikipedia.org/wiki/1978_Formula_One_World_Championship'}]",['Black'],,['Tissot'],"['FINA ARCO Graphite ( Long Beach Grand Prix only) Marlboro ( Belgian Grand Prix only) Mopar', 'Hi-Line Car Stripes ( British Grand Prix only) ICI Chemicals', 'Heyco Werkzeuge ( Dutch Grand Prix only) Guinness ( Italian Grand Prix only) TWA ( Canadian Grand Prix only) Valvoline ( United States Grand Prix and Canadian Grand Prix only)']",,Ensign,,,,,"[{'text': 'Danny Ongais', 'url': 'https://en.wikipedia.org/wiki/Danny_Ongais'}]",,,,,,,,,
"[{'year': 1978, 'url': 'https://en.wikipedia.org/wiki/1978_Formula_One_World_Championship'}]",['Black'],,['Tissot'],"['FINA ARCO Graphite ( Long Beach Grand Prix only) Marlboro ( Belgian Grand Prix only) Mopar', 'Hi-Line Car Stripes ( British Grand Prix only) ICI Chemicals', 'Heyco Werkzeuge ( Dutch Grand Prix only) Guinness ( Italian Grand Prix only) TWA ( Canadian Grand Prix only) Valvoline ( United States Grand Prix and Canadian Grand Prix only)']",,Ensign,,,,,"[{'text': 'Jacky Ickx', 'url': 'https://en.wikipedia.org/wiki/Jacky_Ickx'}, {'text': 'Derek Daly', 'url': 'https://en.wikipedia.org/wiki/Derek_Daly'}, {'text': 'Nelson Piquet', 'url': 'https://en.wikipedia.org/wiki/Nelson_Piquet'}, {'text': 'Bernard de Dryver', 'url': 'https://en.wikipedia.org/wiki/Bernard_de_Dryver'}, {'text': 'Brett Lunger', 'url': 'https://en.wikipedia.org/wiki/Brett_Lunger'}]",,,,,,,,,
"[{'year': 1978, 'url': 'https://en.wikipedia.org/wiki/1978_Formula_One_World_Championship'}]",['Red'],,['Tissot'],"['Hi-Line Car Stripes', 'Mario Deliotti Racing', 'Radio Luxembourg']",,Ensign,,,,,"[{'text': 'Geoff Lees', 'url': 'https://en.wikipedia.org/wiki/Geoff_Lees_(racing_driver)'}]",,,,,,,,,
"[{'year': 1978, 'url': 'https://en.wikipedia.org/wiki/1978_Formula_One_World_Championship'}]",['Black White'],,['Tissot'],[],,Ensign,,,,,"[{'text': 'Lamberto Leoni', 'url': 'https://en.wikipedia.org/wiki/Lamberto_Leoni'}]",,,,,,,,,
"[{'year': 1978, 'url': 'https://en.wikipedia.org/wiki/1978_Formula_One_World_Championship'}]",['Black White'],,[],['Benning'],,Ensign,,,,,"[{'text': 'Lamberto Leoni', 'url': 'https://en.wikipedia.org/wiki/Lamberto_Leoni'}]",,,,,,,,,
"[{'year': 1978, 'url': 'https://en.wikipedia.org/wiki/1978_Formula_One_World_Championship'}]",['Black'],,['Heyco Werkzeuge'],"['Sachs Sporting', 'Shell']",,Ensign,,,,,"[{'text': 'Harald Ertl', 'url': 'https://en.wikipedia.org/wiki/Harald_Ertl'}]",,,,,,,,,
"[{'year': 1979, 'url': 'https://en.wikipedia.org/wiki/1979_Formula_One_World_Championship'}]",['Black Red'],,['Theodore Racing Hong Kong Rainbow Jeanswear ( Canadian Grand Prix and United States Grand Prix only) Hi-Line Car Stripes (British Grand Prix only) Elf ( Austrian Grand Prix and Dutch Grand Prix only) Valvoline'],,,Ensign,,,,,"[{'text': 'Derek Daly', 'url': 'https://en.wikipedia.org/wiki/Derek_Daly'}, {'text': 'Patrick Gaillard', 'url': 'https://en.wikipedia.org/wiki/Patrick_Gaillard'}, {'text': 'Marc Surer', 'url': 'https://en.wikipedia.org/wiki/Marc_Surer'}]",,,,,,,,,
"[{'year': 1980, 'url': 'https://en.wikipedia.org/wiki/1980_Formula_One_World_Championship'}]","['Blue', 'White and Red']",,['Unipart'],['Goodyear Theodore (Italian Grand Prix onwards)'],,Ensign,,,,,"[{'text': 'Clay Regazzoni', 'url': 'https://en.wikipedia.org/wiki/Clay_Regazzoni'}, {'text': 'Tiff Needell', 'url': 'https://en.wikipedia.org/wiki/Tiff_Needell'}, {'text': 'Jan Lammers', 'url': 'https://en.wikipedia.org/wiki/Jan_Lammers'}, {'text': 'Geoff Lees', 'url': 'https://en.wikipedia.org/wiki/Geoff_Lees_(racing_driver)'}]",,,,,,,,,
"[{'year': 1981, 'url': 'https://en.wikipedia.org/wiki/1981_Formula_One_World_Championship'}]","['Blue', 'White and Red']",,"['ISM Group of Companies', 'Valvoline']","['Champagne Abel Lepitre', 'Doria', 'Lucas Oil', 'Michelin']",,Ensign,,,,,"[{'text': 'Marc Surer', 'url': 'https://en.wikipedia.org/wiki/Marc_Surer'}, {'text': 'Ricardo Londoño-Bridge', 'url': 'https://en.wikipedia.org/wiki/Ricardo_Londo%C3%B1o'}]",,,,,,,,,
"[{'year': 1981, 'url': 'https://en.wikipedia.org/wiki/1981_Formula_One_World_Championship'}]","['Blue', 'White and Red']",,"['Din', 'Toyota Budweiser ( Caesars Palace Grand Prix only)']","['Esso', 'Lucas Oil', 'Michelin', 'Tecfin', 'Valvoline']",,Ensign,,,,,"[{'text': 'Eliseo Salazar', 'url': 'https://en.wikipedia.org/wiki/Eliseo_Salazar'}]",,,,,,,,,
"[{'year': 1982, 'url': 'https://en.wikipedia.org/wiki/1982_Formula_One_World_Championship'}]",['White Dark Blue and White'],,"['Café de Colombia', 'Caribu']","['Michelin', 'Valvoline']",,Ensign,,,,,"[{'text': 'Roberto Guerrero', 'url': 'https://en.wikipedia.org/wiki/Roberto_Guerrero'}]",,,,,,,,,
"[{'year': 1972, 'url': 'https://en.wikipedia.org/wiki/1972_Formula_One_World_Championship'}]",['Blue'],['White (Some versions had the Yellow Spoiler)'],['Eifelland Caravan'],"['Goodyear', 'Shell', 'Ford', 'Bostik']",,Eifelland,,,,,,,,,,,,,,
[],['White'],[],['Eifelland Caravan'],"['Goodyear', 'Shell', 'Ford', 'Bostik']",,Eifelland,,,,,,,,,,,,,,
"[{'year': 1988, 'url': 'https://en.wikipedia.org/wiki/1988_Formula_One_World_Championship'}]","['White', 'Yellow (with M505 as sponsor)']",['Black'],"['Tommasini', 'M505']","['Marlboro', 'OZ Wheels', 'Goodyear', 'Darwin', 'Fondmetal']",,EuroBrun,,,,,,,,,,,,,,
"[{'year': 1989, 'url': 'https://en.wikipedia.org/wiki/1989_Formula_One_World_Championship'}]",['White'],"['Red', 'Green', 'Black']",['JSK'],['Lista'],1 car,EuroBrun,,,,,,,,,,,,,,
"[{'year': 1989, 'url': 'https://en.wikipedia.org/wiki/1989_Formula_One_World_Championship'}]",['Orange'],['Black'],['Jägermeister'],"['Lista', 'OZ Wheels', 'Agip', 'Rafta']",Foitek's car,EuroBrun,,,,,,,,,,,,,,
"[{'year': 1990, 'url': 'https://en.wikipedia.org/wiki/1990_Formula_One_World_Championship'}]",['Silver'],['Black'],"['JSK', 'IS-ME-DIN', 'Agip', 'OIIR']","['LFIP', 'Rafta', 'mara', 'Bburago', 'LPR', 'Zucchini']",Used in 1 car,EuroBrun,,,,,,,,,,,,,,
"[{'year': 1950, 'url': 'https://en.wikipedia.org/wiki/1950_Formula_One_World_Championship'}, {'year': 1951, 'url': 'https://en.wikipedia.org/wiki/1951_Formula_One_World_Championship'}, {'year': 1952, 'url': 'https://en.wikipedia.org/wiki/1952_Formula_One_World_Championship'}, {'year': 1953, 'url': 'https://en.wikipedia.org/wiki/1953_Formula_One_World_Championship'}, {'year': 1954, 'url': 'https://en.wikipedia.org/wiki/1954_Formula_One_World_Championship'}, {'year': 1955, 'url': 'https://en.wikipedia.org/wiki/1955_Formula_One_World_Championship'}, {'year': 1956, 'url': 'https://en.wikipedia.org/wiki/1956_Formula_One_World_Championship'}, {'year': 1957, 'url': 'https://en.wikipedia.org/wiki/1957_Formula_One_World_Championship'}, {'year': 1958, 'url': 'https://en.wikipedia.org/wiki/1958_Formula_One_World_Championship'}, {'year': 1959, 'url': 'https://en.wikipedia.org/wiki/1959_Formula_One_World_Championship'}, {'year': 1960, 'url': 'https://en.wikipedia.org/wiki/1960_Formula_One_World_Championship'}, {'year': 1961, 'url': 'https://en.wikipedia.org/wiki/1961_Formula_One_World_Championship'}, {'year': 1962, 'url': 'https://en.wikipedia.org/wiki/1962_Formula_One_World_Championship'}, {'year': 1963, 'url': 'https://en.wikipedia.org/wiki/1963_Formula_One_World_Championship'}, {'year': 1964, 'url': 'https://en.wikipedia.org/wiki/1964_Formula_One_World_Championship'}, {'year': 1965, 'url': 'https://en.wikipedia.org/wiki/1965_Formula_One_World_Championship'}, {'year': 1966, 'url': 'https://en.wikipedia.org/wiki/1966_Formula_One_World_Championship'}, {'year': 1967, 'url': 'https://en.wikipedia.org/wiki/1967_Formula_One_World_Championship'}]","['Red', 'Blue (1964 United States and Mexican Grands Prix)']",[],[],[],,Ferrari,,,,"For the 1964 US GP and Mexico GP , the livery is coloured blue.",,,,,,,,,,
"[{'year': 1968, 'url': 'https://en.wikipedia.org/wiki/1968_Formula_One_World_Championship'}, {'year': 1969, 'url': 'https://en.wikipedia.org/wiki/1969_Formula_One_World_Championship'}, {'year': 1970, 'url': 'https://en.wikipedia.org/wiki/1970_Formula_One_World_Championship'}, {'year': 1971, 'url': 'https://en.wikipedia.org/wiki/1971_Formula_One_World_Championship'}, {'year': 1972, 'url': 'https://en.wikipedia.org/wiki/1972_Formula_One_World_Championship'}, {'year': 1973, 'url': 'https://en.wikipedia.org/wiki/1973_Formula_One_World_Championship'}, {'year': 1974, 'url': 'https://en.wikipedia.org/wiki/1974_Formula_One_World_Championship'}, {'year': 1975, 'url': 'https://en.wikipedia.org/wiki/1975_Formula_One_World_Championship'}, {'year': 1976, 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_World_Championship'}, {'year': 1977, 'url': 'https://en.wikipedia.org/wiki/1977_Formula_One_World_Championship'}, {'year': 1978, 'url': 'https://en.wikipedia.org/wiki/1978_Formula_One_World_Championship'}, {'year': 1979, 'url': 'https://en.wikipedia.org/wiki/1979_Formula_One_World_Championship'}, {'year': 1980, 'url': 'https://en.wikipedia.org/wiki/1980_Formula_One_World_Championship'}, {'year': 1981, 'url': 'https://en.wikipedia.org/wiki/1981_Formula_One_World_Championship'}, {'year': 1982, 'url': 'https://en.wikipedia.org/wiki/1982_Formula_One_World_Championship'}, {'year': 1983, 'url': 'https://en.wikipedia.org/wiki/1983_Formula_One_World_Championship'}, {'year': 1984, 'url': 'https://en.wikipedia.org/wiki/1984_Formula_One_World_Championship'}, {'year': 1985, 'url': 'https://en.wikipedia.org/wiki/1985_Formula_One_World_Championship'}, {'year': 1986, 'url': 'https://en.wikipedia.org/wiki/1986_Formula_One_World_Championship'}, {'year': 1987, 'url': 'https://en.wikipedia.org/wiki/1987_Formula_One_World_Championship'}, {'year': 1988, 'url': 'https://en.wikipedia.org/wiki/1988_Formula_One_World_Championship'}, {'year': 1989, 'url': 'https://en.wikipedia.org/wiki/1989_Formula_One_World_Championship'}, {'year': 1990, 'url': 'https://en.wikipedia.org/wiki/1990_Formula_One_World_Championship'}, {'year': 1991, 'url': 'https://en.wikipedia.org/wiki/1991_Formula_One_World_Championship'}, {'year': 1992, 'url': 'https://en.wikipedia.org/wiki/1992_Formula_One_World_Championship'}, {'year': 1993, 'url': 'https://en.wikipedia.org/wiki/1993_Formula_One_World_Championship'}, {'year': 1994, 'url': 'https://en.wikipedia.org/wiki/1994_Formula_One_World_Championship'}]",['Red'],"['White or Black', 'Green (1970s)']",['Marlboro ( 1993-1994 )'],"['Shell (1968-1972)', 'Agip (1973-1994)', 'FIAT (1976-1994)', 'Goodyear', 'Pioneer (1993-1994)', 'Marlboro (1984-1992)', 'Longines (1980-1986', '1988-1989)', 'Magneti Marelli', 'Champion', 'Weber', 'Gould', 'Agip', 'SKF', 'Arexons']",,Ferrari,,,,"Marlboro logo removed completely or replaced with white space (2000-2004) (The Ferrari cars had white spaces over Marlboro occasionally in 1998 and 1999) (same for Ducati MotoGP team from 2003 to 2004), Marlboro logo changed to ""bar code"" (1994-1999, 2005-2006), or text removed with keeping the chevron with the driver's name (1993) and in the team member clothing, Marlboro logo became a white square with a red stripe above with written the driver's name (1980s-1996). In the 1999 Belgian Grand Prix , Marlboro was replaced by ""Ferrari Formula One"". The team used special livery for 2001 Italian Grand Prix in remembrance of the 11 September 2001 attacks in the United States ; both cars ran without any sponsorship livery and sported matte black nose cones. In the 2005 Bahrain Grand Prix the cars sported black nose cones as a sign of mourning for Pope John Paul II.",,,,,,,,,,
"[{'year': 1995, 'url': 'https://en.wikipedia.org/wiki/1995_Formula_One_World_Championship'}]",['Red'],['Black'],['Marlboro'],"['Agip', 'Pioneer', 'FIAT', 'Goodyear', 'Telecom Italia']",,Ferrari,,,,"Marlboro logo removed completely or replaced with white space (2000-2004) (The Ferrari cars had white spaces over Marlboro occasionally in 1998 and 1999) (same for Ducati MotoGP team from 2003 to 2004), Marlboro logo changed to ""bar code"" (1994-1999, 2005-2006), or text removed with keeping the chevron with the driver's name (1993) and in the team member clothing, Marlboro logo became a white square with a red stripe above with written the driver's name (1980s-1996). In the 1999 Belgian Grand Prix , Marlboro was replaced by ""Ferrari Formula One"". The team used special livery for 2001 Italian Grand Prix in remembrance of the 11 September 2001 attacks in the United States ; both cars ran without any sponsorship livery and sported matte black nose cones. In the 2005 Bahrain Grand Prix the cars sported black nose cones as a sign of mourning for Pope John Paul II.",,,,,,,,,,
"[{'year': 1996, 'url': 'https://en.wikipedia.org/wiki/1996_Formula_One_World_Championship'}]",['Red'],['Black'],"['Marlboro', 'Shell']","['Pioneer', 'Asprey', 'Goodyear', 'FIAT', 'Telecom Italia', 'GE']",,Ferrari,,,,"Marlboro logo removed completely or replaced with white space (2000-2004) (The Ferrari cars had white spaces over Marlboro occasionally in 1998 and 1999) (same for Ducati MotoGP team from 2003 to 2004), Marlboro logo changed to ""bar code"" (1994-1999, 2005-2006), or text removed with keeping the chevron with the driver's name (1993) and in the team member clothing, Marlboro logo became a white square with a red stripe above with written the driver's name (1980s-1996). In the 1999 Belgian Grand Prix , Marlboro was replaced by ""Ferrari Formula One"". The team used special livery for 2001 Italian Grand Prix in remembrance of the 11 September 2001 attacks in the United States ; both cars ran without any sponsorship livery and sported matte black nose cones. In the 2005 Bahrain Grand Prix the cars sported black nose cones as a sign of mourning for Pope John Paul II.",,,,,,,,,,
"[{'year': 1997, 'url': 'https://en.wikipedia.org/wiki/1997_Formula_One_World_Championship'}]",['Red'],[],"['Marlboro', 'Shell']","['Pioneer', 'Asprey', 'Goodyear', 'FIAT', 'GE', 'Magneti Marelli', 'Telecom Italia']",,Ferrari,,,,"Marlboro logo removed completely or replaced with white space (2000-2004) (The Ferrari cars had white spaces over Marlboro occasionally in 1998 and 1999) (same for Ducati MotoGP team from 2003 to 2004), Marlboro logo changed to ""bar code"" (1994-1999, 2005-2006), or text removed with keeping the chevron with the driver's name (1993) and in the team member clothing, Marlboro logo became a white square with a red stripe above with written the driver's name (1980s-1996). In the 1999 Belgian Grand Prix , Marlboro was replaced by ""Ferrari Formula One"". The team used special livery for 2001 Italian Grand Prix in remembrance of the 11 September 2001 attacks in the United States ; both cars ran without any sponsorship livery and sported matte black nose cones. In the 2005 Bahrain Grand Prix the cars sported black nose cones as a sign of mourning for Pope John Paul II.",,,,,,,,,,
"[{'year': 1998, 'url': 'https://en.wikipedia.org/wiki/1998_Formula_One_World_Championship'}]",['Red'],[],"['Marlboro', 'Shell']","['Asprey', 'Goodyear', 'FIAT', 'GE', 'Magneti Marelli', 'Telecom Italia', 'Tommy Hilfiger']",,Ferrari,,,,"Marlboro logo removed completely or replaced with white space (2000-2004) (The Ferrari cars had white spaces over Marlboro occasionally in 1998 and 1999) (same for Ducati MotoGP team from 2003 to 2004), Marlboro logo changed to ""bar code"" (1994-1999, 2005-2006), or text removed with keeping the chevron with the driver's name (1993) and in the team member clothing, Marlboro logo became a white square with a red stripe above with written the driver's name (1980s-1996). In the 1999 Belgian Grand Prix , Marlboro was replaced by ""Ferrari Formula One"". The team used special livery for 2001 Italian Grand Prix in remembrance of the 11 September 2001 attacks in the United States ; both cars ran without any sponsorship livery and sported matte black nose cones. In the 2005 Bahrain Grand Prix the cars sported black nose cones as a sign of mourning for Pope John Paul II.",,,,,,,,,,
"[{'year': 1999, 'url': 'https://en.wikipedia.org/wiki/1999_Formula_One_World_Championship'}, {'year': 2000, 'url': 'https://en.wikipedia.org/wiki/2000_Formula_One_World_Championship'}, {'year': 2001, 'url': 'https://en.wikipedia.org/wiki/2001_Formula_One_World_Championship'}]",['Red'],[],"['Marlboro', 'Shell']","['TIM', 'FedEx', 'Tic Tac', 'Bridgestone', 'Magneti Marelli', 'GE', 'FIAT', 'Tommy Hilfiger']",,Ferrari,,,,"Marlboro logo removed completely or replaced with white space (2000-2004) (The Ferrari cars had white spaces over Marlboro occasionally in 1998 and 1999) (same for Ducati MotoGP team from 2003 to 2004), Marlboro logo changed to ""bar code"" (1994-1999, 2005-2006), or text removed with keeping the chevron with the driver's name (1993) and in the team member clothing, Marlboro logo became a white square with a red stripe above with written the driver's name (1980s-1996). In the 1999 Belgian Grand Prix , Marlboro was replaced by ""Ferrari Formula One"". The team used special livery for 2001 Italian Grand Prix in remembrance of the 11 September 2001 attacks in the United States ; both cars ran without any sponsorship livery and sported matte black nose cones. In the 2005 Bahrain Grand Prix the cars sported black nose cones as a sign of mourning for Pope John Paul II.",,,,,,,,,,
"[{'year': 2002, 'url': 'https://en.wikipedia.org/wiki/2002_Formula_One_World_Championship'}]",['Red'],['White'],['Marlboro'],"['Vodafone', 'Shell', 'Bridgestone', 'FIAT', 'AMD', 'SK Telecom']",,Ferrari,,,,"Marlboro logo removed completely or replaced with white space (2000-2004) (The Ferrari cars had white spaces over Marlboro occasionally in 1998 and 1999) (same for Ducati MotoGP team from 2003 to 2004), Marlboro logo changed to ""bar code"" (1994-1999, 2005-2006), or text removed with keeping the chevron with the driver's name (1993) and in the team member clothing, Marlboro logo became a white square with a red stripe above with written the driver's name (1980s-1996). In the 1999 Belgian Grand Prix , Marlboro was replaced by ""Ferrari Formula One"". The team used special livery for 2001 Italian Grand Prix in remembrance of the 11 September 2001 attacks in the United States ; both cars ran without any sponsorship livery and sported matte black nose cones. In the 2005 Bahrain Grand Prix the cars sported black nose cones as a sign of mourning for Pope John Paul II.",,,,,,,,,,
"[{'year': 2003, 'url': 'https://en.wikipedia.org/wiki/2003_Formula_One_World_Championship'}, {'year': 2004, 'url': 'https://en.wikipedia.org/wiki/2004_Formula_One_World_Championship'}, {'year': 2005, 'url': 'https://en.wikipedia.org/wiki/2005_Formula_One_World_Championship'}, {'year': 2006, 'url': 'https://en.wikipedia.org/wiki/2006_Formula_One_World_Championship'}]",['Red'],['White'],['Marlboro'],"['Vodafone', 'Shell', 'Bridgestone', 'FIAT', 'Martini (2006)', 'AMD', 'Olympus (2003-2005)', 'Acer']",,Ferrari,,,,"Marlboro logo removed completely or replaced with white space (2000-2004) (The Ferrari cars had white spaces over Marlboro occasionally in 1998 and 1999) (same for Ducati MotoGP team from 2003 to 2004), Marlboro logo changed to ""bar code"" (1994-1999, 2005-2006), or text removed with keeping the chevron with the driver's name (1993) and in the team member clothing, Marlboro logo became a white square with a red stripe above with written the driver's name (1980s-1996). In the 1999 Belgian Grand Prix , Marlboro was replaced by ""Ferrari Formula One"". The team used special livery for 2001 Italian Grand Prix in remembrance of the 11 September 2001 attacks in the United States ; both cars ran without any sponsorship livery and sported matte black nose cones. In the 2005 Bahrain Grand Prix the cars sported black nose cones as a sign of mourning for Pope John Paul II.",,,,,,,,,,
"[{'year': 2007, 'url': 'https://en.wikipedia.org/wiki/2007_Formula_One_World_Championship'}, {'year': 2008, 'url': 'https://en.wikipedia.org/wiki/2008_Formula_One_World_Championship'}, {'year': 2009, 'url': 'https://en.wikipedia.org/wiki/2009_Formula_One_World_Championship'}]",['Red'],['White'],['Marlboro'],"['Shell', 'Bridgestone', 'FIAT', 'AMD', 'Acer', 'Alice', 'Martini (2007-2008)', 'Etihad (2008-)', 'Mubadala (2008-2009)']",,Ferrari,,,,"Due to a total tobacco livery ban, from 2008 onwards only a ""bar code"" has been used instead of the Marlboro logo. As of the 2010 Spanish Grand Prix , even the ""bar code"" was removed on allegations of subliminal tobacco advertising. This was replaced in 2011 with a new 'Scuderia Ferrari' logo, which uses a similar graphical design to the Marlboro logo while purporting to be a team logo and is placed in the main areas the previous barcode was visible. Philip Morris's sponsorship deal with Ferrari has been extended to 2015. In May 2015, another deal between The Philip Morris Group and Ferrari took place, extending the sponsor deal until 2018, and in August 2017 another ""multi-year"" deal was signed.",,,,,,,,,,
"[{'year': 2010, 'url': 'https://en.wikipedia.org/wiki/2010_Formula_One_World_Championship'}]",['Red'],['White and Black'],"['Marlboro', 'Santander']","['Shell', 'Bridgestone', 'FIAT', 'AMD', 'Acer', 'Etihad', 'Mubadala']",,Ferrari,,,,"Due to a total tobacco livery ban, from 2008 onwards only a ""bar code"" has been used instead of the Marlboro logo. As of the 2010 Spanish Grand Prix , even the ""bar code"" was removed on allegations of subliminal tobacco advertising. This was replaced in 2011 with a new 'Scuderia Ferrari' logo, which uses a similar graphical design to the Marlboro logo while purporting to be a team logo and is placed in the main areas the previous barcode was visible. Philip Morris's sponsorship deal with Ferrari has been extended to 2015. In May 2015, another deal between The Philip Morris Group and Ferrari took place, extending the sponsor deal until 2018, and in August 2017 another ""multi-year"" deal was signed.",,,,,,,,,,
"[{'year': 2011, 'url': 'https://en.wikipedia.org/wiki/2011_Formula_One_World_Championship'}, {'year': 2012, 'url': 'https://en.wikipedia.org/wiki/2012_Formula_One_World_Championship'}]",['Red'],['White'],['Santander'],"['Shell', 'Kaspersky Lab', 'Pirelli', 'TATA', 'FIAT', 'Acer', 'AMD']",,Ferrari,,,,"Due to a total tobacco livery ban, from 2008 onwards only a ""bar code"" has been used instead of the Marlboro logo. As of the 2010 Spanish Grand Prix , even the ""bar code"" was removed on allegations of subliminal tobacco advertising. This was replaced in 2011 with a new 'Scuderia Ferrari' logo, which uses a similar graphical design to the Marlboro logo while purporting to be a team logo and is placed in the main areas the previous barcode was visible. Philip Morris's sponsorship deal with Ferrari has been extended to 2015. In May 2015, another deal between The Philip Morris Group and Ferrari took place, extending the sponsor deal until 2018, and in August 2017 another ""multi-year"" deal was signed.",,,,,,,,,,
"[{'year': 2011, 'url': 'https://en.wikipedia.org/wiki/2011_Formula_One_World_Championship'}, {'year': 2012, 'url': 'https://en.wikipedia.org/wiki/2012_Formula_One_World_Championship'}]",['Red'],['White'],['Santander'],"['Shell', 'Kaspersky Lab', 'Pirelli', 'FIAT', 'acer', 'AMD', 'Ferrari World']",,Ferrari,,,,"Due to a total tobacco livery ban, from 2008 onwards only a ""bar code"" has been used instead of the Marlboro logo. As of the 2010 Spanish Grand Prix , even the ""bar code"" was removed on allegations of subliminal tobacco advertising. This was replaced in 2011 with a new 'Scuderia Ferrari' logo, which uses a similar graphical design to the Marlboro logo while purporting to be a team logo and is placed in the main areas the previous barcode was visible. Philip Morris's sponsorship deal with Ferrari has been extended to 2015. In May 2015, another deal between The Philip Morris Group and Ferrari took place, extending the sponsor deal until 2018, and in August 2017 another ""multi-year"" deal was signed.",,,,,,,,,,
"[{'year': 2013, 'url': 'https://en.wikipedia.org/wiki/2013_Formula_One_World_Championship'}]",['Red'],"['White', 'Black']",['Santander'],"['Shell', 'UPS', 'Kaspersky Lab', 'Pirelli', 'FIAT', 'Acer', 'AMD', 'Ferrari World', 'TNT Energy Drink', 'OMR Automotive', 'MAHLE', 'HUBLOT']",,Ferrari,,,,"Due to a total tobacco livery ban, from 2008 onwards only a ""bar code"" has been used instead of the Marlboro logo. As of the 2010 Spanish Grand Prix , even the ""bar code"" was removed on allegations of subliminal tobacco advertising. This was replaced in 2011 with a new 'Scuderia Ferrari' logo, which uses a similar graphical design to the Marlboro logo while purporting to be a team logo and is placed in the main areas the previous barcode was visible. Philip Morris's sponsorship deal with Ferrari has been extended to 2015. In May 2015, another deal between The Philip Morris Group and Ferrari took place, extending the sponsor deal until 2018, and in August 2017 another ""multi-year"" deal was signed.",,,,,,,,,,
"[{'year': 2014, 'url': 'https://en.wikipedia.org/wiki/2014_Formula_One_World_Championship'}]","['Red', 'Black']",['White'],['Santander'],"['Shell', 'UPS', 'FIAT', 'HUBLOT', 'Kaspersky Lab', 'Pirelli', 'WEICHAI', 'Ferrari World', 'TNT Energy Drink', 'OMR Automotive', 'MAHLE']",,Ferrari,,,,"Due to a total tobacco livery ban, from 2008 onwards only a ""bar code"" has been used instead of the Marlboro logo. As of the 2010 Spanish Grand Prix , even the ""bar code"" was removed on allegations of subliminal tobacco advertising. This was replaced in 2011 with a new 'Scuderia Ferrari' logo, which uses a similar graphical design to the Marlboro logo while purporting to be a team logo and is placed in the main areas the previous barcode was visible. Philip Morris's sponsorship deal with Ferrari has been extended to 2015. In May 2015, another deal between The Philip Morris Group and Ferrari took place, extending the sponsor deal until 2018, and in August 2017 another ""multi-year"" deal was signed.",,,,,,,,,,
"[{'year': 2015, 'url': 'https://en.wikipedia.org/wiki/2015_Formula_One_World_Championship'}]",['Red'],"['Black', 'White']",['Santander'],"['Shell', 'Alfa Romeo', 'UPS', 'HUBLOT', 'Kaspersky Lab', 'Pirelli', 'WEICHAI', 'Ferrari World', 'TNT Energy Drink', 'Telcel', 'Claro', 'Haas', 'Puma', 'MAHLE', 'Oakley', 'OMR Automotive', 'SKF', 'Brembo', 'Magneti Marelli', 'Iveco']",,Ferrari,,,,"Due to a total tobacco livery ban, from 2008 onwards only a ""bar code"" has been used instead of the Marlboro logo. As of the 2010 Spanish Grand Prix , even the ""bar code"" was removed on allegations of subliminal tobacco advertising. This was replaced in 2011 with a new 'Scuderia Ferrari' logo, which uses a similar graphical design to the Marlboro logo while purporting to be a team logo and is placed in the main areas the previous barcode was visible. Philip Morris's sponsorship deal with Ferrari has been extended to 2015. In May 2015, another deal between The Philip Morris Group and Ferrari took place, extending the sponsor deal until 2018, and in August 2017 another ""multi-year"" deal was signed.",,,,,,,,,,
